
# Efinity Pinout Report
# Version: 2021.2.323.2.18
# Date: 2026-08-28 10:46

# Copyright (C) 2017 - 2021 Efinix Inc. All rights reserved.

# Device: T35F324
# Package status: final
# Project: T35_FRAMEWORK
# Configuration mode: active (x4)

Pin Number,Pin Name,Signal Name,Direction,Bank,I/O Bank Voltage,I/O Standard,Pull Type,Function
R10,GND,,Power,,,,,Ground
R11,VCCIO4A,,Power,4A,3.3 V,,,VCCIO Power
R12,GPIOB_TXP11,fx3_data[1].TXP,Output,4A,3.3 V,3.3 V LVTTL / LVCMOS,,User IO
R13,GPIOB_TXN09,fx3_ctl1.TXN,Input,4B,3.3 V,3.3 V LVTTL / LVCMOS,,User IO/PLL_CLKIN
R14,GPIOB_TXN07_CDI22,fx3_data[20].TXN,Output,4B,3.3 V,3.3 V LVTTL / LVCMOS,,User IO
R15,GPIOB_TXN05_CDI26,fx3_data[19].TXN,Output,4B,3.3 V,3.3 V LVTTL / LVCMOS,,User IO
R16,TDI,,Input,1A,3.3 V,,,Configuration
R17,GPIOB_TXN00,fx3_data[18].TXN,Output,4B,3.3 V,3.3 V LVTTL / LVCMOS,,User IO
R18,GPIOB_TXP02,fx3_data[22].TXP,Output,4B,3.3 V,3.3 V LVTTL / LVCMOS,,User IO
T1,DDR_A[4],DDR_CTRL.A[4],,3D,,,,
T2,DDR_RST_N,DDR_CTRL.RST_N,,3D,,,,
T3,DDR_A[9],DDR_CTRL.A[9],,3D,,,,
T4,DDR_A[8],DDR_CTRL.A[8],,3D,,,,
T5,DDR_BA[0],DDR_CTRL.BA[0],,3D,,,,
T6,DDR_A[13],DDR_CTRL.A[13],,3D,,,,
T7,VCCIO_DDR,,Power,3D,,,,VCCIO Power
T8,GPIOR_139_PLLIN1,,Input,3C_TR_BR,1.8 V,,weak pullup,User IO/PLL_CLKIN
T9,GPIOB_TXP19_CLK2,fx3_data[12].TXP,Output,4A,3.3 V,3.3 V LVTTL / LVCMOS,,User IO/PLL_CLKIN
T10,VCCIO4A,,Power,4A,3.3 V,,,VCCIO Power
T11,GPIOB_TXN18_CDI8,fx3_data[5].TXN,Output,4A,3.3 V,3.3 V LVTTL / LVCMOS,,User IO/PLL_EXTFB
T12,GPIOB_TXN11,fx3_data[30].TXN,Output,4A,3.3 V,3.3 V LVTTL / LVCMOS,,User IO
T13,GND,,Power,,,,,Ground
T14,VCCIO4B,,Power,4B,3.3 V,,,VCCIO Power
T15,GPIOB_TXP05_CDI27,fx3_data[24].TXP,Output,4B,3.3 V,3.3 V LVTTL / LVCMOS,,User IO
T16,TCK,,Input,1A,3.3 V,,,Configuration
T17,GPIOB_TXP00,fx3_ctl11.TXP,Output,4B,3.3 V,3.3 V LVTTL / LVCMOS,,User IO
T18,GPIOB_TXN01,fx3_data[29].TXN,Output,4B,3.3 V,3.3 V LVTTL / LVCMOS,,User IO
U1,DDR_ODT,DDR_CTRL.ODT,,3D,,,,
U2,VCCIO_DDR,,Power,3D,,,,VCCIO Power
U3,DDR_BA[1],DDR_CTRL.BA[1],,3D,,,,
U4,DDR_WE_N,DDR_CTRL.WE_N,,3D,,,,
U5,VCCIO_DDR,,Power,3D,,,,VCCIO Power
U6,DDR_A[12],DDR_CTRL.A[12],,3D,,,,
U7,DDR_A[11],DDR_CTRL.A[11],,3D,,,,
U8,GPIOR_138_PLLIN0,ddrrefclk,Input,3C_TR_BR,1.8 V,1.8 V LVCMOS,,User IO/PLL_CLKIN
U9,GPIOB_TXN17_CDI10,fx3_data[10].TXN,Output,4A,3.3 V,3.3 V LVTTL / LVCMOS,,User IO
U10,GPIOB_TXP15_CLK1_CDI15,fx3_data[4].TXP,Output,4A,3.3 V,3.3 V LVTTL / LVCMOS,,User IO/PLL_CLKIN
U11,GPIOB_TXP18_EXTFB2_CDI9,fx3_data[15].TXP,Output,4A,3.3 V,3.3 V LVTTL / LVCMOS,,User IO/PLL_EXTFB
U12,GPIOB_TXN10,fx3_pclk.TXN,Output,4A,3.3 V,3.3 V LVTTL / LVCMOS,,User IO
U13,GPIOB_TXN08_CDI20,fx3_data[28].TXN,Output,4B,3.3 V,3.3 V LVTTL / LVCMOS,,User IO/PLL_EXTFB
U14,GPIOB_TXN06_CDI24,fx3_ctl5.TXN,Input,4B,3.3 V,3.3 V LVTTL / LVCMOS,,User IO
U15,GPIOB_TXP04_CDI29,fx3_ctl12.TXP,Output,4B,3.3 V,3.3 V LVTTL / LVCMOS,,User IO
U16,GPIOB_TXP03_CDI31,fx3_data[27].TXP,Output,4B,3.3 V,3.3 V LVTTL / LVCMOS,,User IO
U17,VCCIO4B,,Power,4B,3.3 V,,,VCCIO Power
U18,GPIOB_TXP01,fx3_data[25].TXP,Output,4B,3.3 V,3.3 V LVTTL / LVCMOS,,User IO
V1,GND,,Power,,,,,Ground
V2,DDR_CAS_N,DDR_CTRL.CAS_N,,3D,,,,
V3,DDR_RAS_N,DDR_CTRL.RAS_N,,3D,,,,
V4,GND,,Power,,,,,Ground
V5,DDR_A[15],DDR_CTRL.A[15],,3D,,,,
V6,DDR_A[14],DDR_CTRL.A[14],,3D,,,,
V7,DDR_A[10],DDR_CTRL.A[10],,3D,,,,
V8,DDR_A[7],DDR_CTRL.A[7],,3D,,,,
V9,GPIOB_TXP17_CDI11,fx3_data[11].TXP,Output,4A,3.3 V,3.3 V LVTTL / LVCMOS,,User IO
V10,GPIOB_TXN15_CDI14,fx3_ctl4.TXN,Input,4A,3.3 V,3.3 V LVTTL / LVCMOS,,User IO/PLL_CLKIN
V11,REF_RES_4A,,Input,4A,3.3 V,,,
V12,GPIOB_TXP10,fx3_data[2].TXP,Output,4A,3.3 V,3.3 V LVTTL / LVCMOS,,User IO
V13,GPIOB_TXP08_EXTFB0_CDI21,fx3_data[26].TXP,Output,4B,3.3 V,3.3 V LVTTL / LVCMOS,,User IO/PLL_EXTFB
V14,GPIOB_TXP06_CDI25,fx3_data[31].TXP,Output,4B,3.3 V,3.3 V LVTTL / LVCMOS,,User IO
V15,GPIOB_TXN04_CDI28,fx3_data[23].TXN,Output,4B,3.3 V,3.3 V LVTTL / LVCMOS,,User IO
V16,GPIOB_TXN03_CDI30,fx3_ctl6.TXN,Input,4B,3.3 V,3.3 V LVTTL / LVCMOS,,User IO
V17,REF_RES_4B,,Input,4B,3.3 V,,,
V18,GND,,Power,,,,,Ground
